category	name	url	requested_ref	fixed_revision	version	local_path	status	license_file
01-计算机基础	ossu-computer-science	https://github.com/ossu/computer-science	master	33d44a44e3526ede8e862bf1ad50ae5ae7a2f112	rolling	learning-materials/01-计算机基础/ossu-computer-science	ok	/var/www/wsl_doc/learning-materials/01-计算机基础/ossu-computer-science/LICENSE
01-计算机基础	cs-self-learning	https://github.com/PKUFlyingPig/cs-self-learning	master	adce8e13789dc16aa6d1fbe163e9541736defae4	rolling	learning-materials/01-计算机基础/cs-self-learning	ok	/var/www/wsl_doc/learning-materials/01-计算机基础/cs-self-learning/LICENSE
01-计算机基础	riscv-isa-manual	https://github.com/riscv/riscv-isa-manual	main	7fa630c8536cd614fb3cbb58169481c7148155f5	rolling	learning-materials/01-计算机基础/riscv-isa-manual	ok	/var/www/wsl_doc/learning-materials/01-计算机基础/riscv-isa-manual/LICENSE
01-计算机基础	nemu	https://github.com/NJU-ProjectN/nemu	master	61a95c38d8a29b73cee6567547b681133560a11b	rolling	learning-materials/01-计算机基础/nemu	ok	/var/www/wsl_doc/learning-materials/01-计算机基础/nemu/LICENSE
01-计算机基础	ics-pa-gitbook	https://github.com/NJU-ProjectN/ics-pa-gitbook	master	ad7ba862c58989e370f1ab381230d3d26d35c76b	rolling	learning-materials/01-计算机基础/ics-pa-gitbook	ok	未在前三层目录发现；使用前核对上游许可
01-计算机基础	xv6-riscv	https://github.com/mit-pdos/xv6-riscv	riscv	7d01506ee03394b6b1a161ccee69cd150ab471fc	rolling	learning-materials/01-计算机基础/xv6-riscv	ok	/var/www/wsl_doc/learning-materials/01-计算机基础/xv6-riscv/LICENSE
01-计算机基础	xv6-riscv-book	https://github.com/mit-pdos/xv6-riscv-book	xv6-riscv	edd6b315c49e938469e6bdb821dbcf81a5ffc344	rolling	learning-materials/01-计算机基础/xv6-riscv-book	ok	/var/www/wsl_doc/learning-materials/01-计算机基础/xv6-riscv-book/LICENSE
01-计算机基础	ostep-code	https://github.com/remzi-arpacidusseau/ostep-code	master	ba628e3dd929389dcd78c933d330dd5e70ddca85	rolling	learning-materials/01-计算机基础/ostep-code	ok	未在前三层目录发现；使用前核对上游许可
01-计算机基础	computer-networks-systems-approach	https://github.com/SystemsApproach/book	master	ef3894652867996b1380b45df0bb0386456b1919	rolling	learning-materials/01-计算机基础/computer-networks-systems-approach	ok	/var/www/wsl_doc/learning-materials/01-计算机基础/computer-networks-systems-approach/LICENSE
01-计算机基础	open-data-structures	https://github.com/patmorin/ods	master	9d22c44906dda2017b2ef0c762025bee644b58aa	rolling	learning-materials/01-计算机基础/open-data-structures	ok	/var/www/wsl_doc/learning-materials/01-计算机基础/open-data-structures/COPYING
